bucket_end_utc,checkout_requests,checkout_5xx,http_5xx_rate_pct,http_p99_ms,db_pool_wait_p99_ms,db_pool_active,db_pool_max,vendor_payments_p99_ms,ledger_db_cpu_pct
2026-07-14T13:45:00Z,1180,2,0.2,238,3,4,10,131,41
2026-07-14T13:50:00Z,1204,3,0.2,241,3,4,10,129,42
2026-07-14T13:55:00Z,1191,2,0.2,236,4,5,10,133,41
2026-07-14T14:00:00Z,1213,3,0.2,244,4,5,10,130,43
2026-07-14T14:05:00Z,1248,76,6.1,3812,1450,10,10,129,63
2026-07-14T14:10:00Z,1236,227,18.4,5001,2104,10,10,133,68
2026-07-14T14:15:00Z,1229,331,26.9,5002,2388,10,10,132,69
2026-07-14T14:20:00Z,1241,410,33.0,5003,2596,10,10,128,70
2026-07-14T14:25:00Z,1218,429,35.2,5001,2733,10,10,131,70
2026-07-14T14:30:00Z,1225,441,36.0,5002,3050,10,10,134,71
2026-07-14T14:35:00Z,1232,451,36.6,5004,2988,10,10,130,71
2026-07-14T14:40:00Z,1209,452,37.4,5001,3011,10,10,129,72
2026-07-14T14:45:00Z,1214,463,38.1,5003,3104,10,10,133,72
2026-07-14T14:50:00Z,1197,451,37.7,5002,2967,10,10,127,71
2026-07-14T14:55:00Z,1188,442,37.2,5001,2901,10,10,130,71
2026-07-14T15:00:00Z,1176,432,36.7,5002,2874,10,10,132,70
2026-07-14T15:05:00Z,1163,421,36.2,5003,2842,10,10,128,70
2026-07-14T15:10:00Z,1155,410,35.5,5001,2810,10,10,131,70
2026-07-14T15:15:00Z,1147,399,34.8,5002,2788,10,10,129,69
2026-07-14T15:20:00Z,1139,389,34.2,5001,2871,10,10,127,69
2026-07-14T15:25:00Z,1131,378,33.4,5002,2755,10,10,130,69
2026-07-14T15:30:00Z,1128,367,32.5,5001,2702,10,10,133,68
2026-07-14T15:35:00Z,1142,48,4.2,486,210,7,10,131,52
2026-07-14T15:40:00Z,1168,4,0.3,251,4,4,10,132,44
2026-07-14T15:45:00Z,1183,2,0.2,239,3,4,10,130,42
2026-07-14T15:50:00Z,1196,3,0.2,242,3,4,10,128,41
2026-07-14T15:55:00Z,1201,2,0.2,240,4,5,10,131,41
