bucket_end_utc,queue_depth,delivery_lag_sec,gateway_requests,gateway_503,gateway_2xx,worker_slots_busy,worker_slots_total,retry_share_pct,notifications_db_cpu_pct
2026-07-22T02:50:00Z,2050,11,4180,0,4180,21,64,3,33
2026-07-22T03:00:00Z,2110,12,4240,0,4240,22,64,3,34
2026-07-22T03:10:00Z,2080,12,4205,0,4205,22,64,3,34
2026-07-22T03:20:00Z,61400,214,46120,31240,14880,64,64,68,71
2026-07-22T03:30:00Z,148600,638,92480,0,92480,64,64,88,86
2026-07-22T03:40:00Z,231900,1142,96310,0,96310,64,64,91,88
2026-07-22T03:50:00Z,309400,1688,97020,0,97020,64,64,92,88
2026-07-22T04:00:00Z,382100,2255,97460,0,97460,64,64,93,88
2026-07-22T04:10:00Z,450300,2841,97610,0,97610,64,64,93,87
2026-07-22T04:20:00Z,513800,3444,97530,0,97530,64,64,93,87
2026-07-22T04:30:00Z,572600,4061,97480,0,97480,64,64,94,86
2026-07-22T04:40:00Z,626900,4690,97390,0,97390,64,64,94,86
2026-07-22T04:50:00Z,676400,5331,97310,0,97310,64,64,94,85
2026-07-22T05:00:00Z,715200,5982,97250,0,97250,64,64,94,85
2026-07-22T05:10:00Z,748100,6641,97180,0,97180,64,64,94,85
2026-07-22T05:20:00Z,774300,7308,97140,0,97140,64,64,95,84
2026-07-22T05:30:00Z,793500,7982,97090,0,97090,64,64,95,84
2026-07-22T05:40:00Z,804700,8661,97060,0,97060,64,64,95,84
2026-07-22T05:50:00Z,809900,9345,97030,0,97030,64,64,95,84
2026-07-22T06:00:00Z,812400,10032,97010,0,97010,64,64,95,83
2026-07-22T06:10:00Z,811600,10722,96980,0,96980,64,64,95,83
2026-07-22T06:20:00Z,809200,11414,96950,0,96950,64,64,95,83
2026-07-22T06:30:00Z,806100,12108,96930,0,96930,64,64,95,83
2026-07-22T06:40:00Z,802400,12803,96900,0,96900,64,64,95,83
2026-07-22T06:50:00Z,798200,13500,96880,0,96880,64,64,95,82
2026-07-22T07:00:00Z,793500,13920,96860,0,96860,64,64,95,82
2026-07-22T07:10:00Z,214700,2610,38240,0,38240,61,64,22,58
2026-07-22T07:20:00Z,18300,210,9640,0,9640,34,64,6,41
2026-07-22T07:30:00Z,2240,14,4310,0,4310,23,64,3,35
